TOP.60cd8571.0006b2b8	START
TOP.60cd8571.0006b2b8	hashes->digests_done	0
TOP.60cd8571.0006b2b8	hashes->salts_cnt	17
TOP.60cd8571.0006b2b8	hashes->salts_done	0
TOP.60cd8571.0006b2b8	SUB.60cd8576.000c281e	START
TOP.60cd8571.0006b2b8	SUB.60cd8576.000c281e	mask_ctx->mask	?1
TOP.60cd85e9.000357a0	START
TOP.60cd85e9.000357a0	folder_config->cwd	C:\Users\fvolp\Desktop\hashcat-6.2.2
TOP.60cd85e9.000357a0	folder_config->install_dir	.
TOP.60cd85e9.000357a0	folder_config->profile_dir	.
TOP.60cd85e9.000357a0	folder_config->session_dir	.
TOP.60cd85e9.000357a0	folder_config->shared_dir	.
TOP.60cd85e9.000357a0	user_options->separator	:
TOP.60cd85e9.000357a0	user_options->custom_charset_1	?l?d?u
TOP.60cd85e9.000357a0	user_options->custom_charset_2	?l?d
TOP.60cd85e9.000357a0	user_options->custom_charset_3	?l?d*!$@_
TOP.60cd85e9.000357a0	user_options->encoding_from	utf-8
TOP.60cd85e9.000357a0	user_options->encoding_to	utf-8
TOP.60cd85e9.000357a0	user_options->outfile	cracked.txt
TOP.60cd85e9.000357a0	user_options->rule_buf_l	:
TOP.60cd85e9.000357a0	user_options->rule_buf_r	:
TOP.60cd85e9.000357a0	user_options->session	hashcat
TOP.60cd85e9.000357a0	user_options->limit	0
TOP.60cd85e9.000357a0	user_options->skip	0
TOP.60cd85e9.000357a0	user_options->attack_mode	3
TOP.60cd85e9.000357a0	user_options->benchmark	0
TOP.60cd85e9.000357a0	user_options->benchmark_all	0
TOP.60cd85e9.000357a0	user_options->bitmap_max	18
TOP.60cd85e9.000357a0	user_options->bitmap_min	16
TOP.60cd85e9.000357a0	user_options->debug_mode	0
TOP.60cd85e9.000357a0	user_options->hash_info	0
TOP.60cd85e9.000357a0	user_options->force	0
TOP.60cd85e9.000357a0	user_options->hwmon_disable	0
TOP.60cd85e9.000357a0	user_options->hwmon_temp_abort	90
TOP.60cd85e9.000357a0	user_options->hash_mode	3200
TOP.60cd85e9.000357a0	user_options->hex_charset	0
TOP.60cd85e9.000357a0	user_options->hex_salt	0
TOP.60cd85e9.000357a0	user_options->hex_wordlist	0
TOP.60cd85e9.000357a0	user_options->hook_threads	8
TOP.60cd85e9.000357a0	user_options->identify	0
TOP.60cd85e9.000357a0	user_options->increment	1
TOP.60cd85e9.000357a0	user_options->increment_max	256
TOP.60cd85e9.000357a0	user_options->increment_min	1
TOP.60cd85e9.000357a0	user_options->keep_guessing	0
TOP.60cd85e9.000357a0	user_options->kernel_accel	0
TOP.60cd85e9.000357a0	user_options->kernel_loops	0
TOP.60cd85e9.000357a0	user_options->kernel_threads	0
TOP.60cd85e9.000357a0	user_options->keyspace	0
TOP.60cd85e9.000357a0	user_options->left	0
TOP.60cd85e9.000357a0	user_options->logfile_disable	0
TOP.60cd85e9.000357a0	user_options->loopback	0
TOP.60cd85e9.000357a0	user_options->machine_readable	0
TOP.60cd85e9.000357a0	user_options->markov_classic	0
TOP.60cd85e9.000357a0	user_options->markov_disable	0
TOP.60cd85e9.000357a0	user_options->markov_threshold	256
TOP.60cd85e9.000357a0	user_options->backend_info	0
TOP.60cd85e9.000357a0	user_options->backend_vector_width	0
TOP.60cd85e9.000357a0	user_options->optimized_kernel_enable	0
TOP.60cd85e9.000357a0	user_options->outfile_autohex	1
TOP.60cd85e9.000357a0	user_options->outfile_check_timer	5
TOP.60cd85e9.000357a0	user_options->outfile_format	3
TOP.60cd85e9.000357a0	user_options->wordlist_autohex_disable	0
TOP.60cd85e9.000357a0	user_options->potfile_disable	0
TOP.60cd85e9.000357a0	user_options->progress_only	0
TOP.60cd85e9.000357a0	user_options->quiet	0
TOP.60cd85e9.000357a0	user_options->remove	0
TOP.60cd85e9.000357a0	user_options->remove_timer	60
TOP.60cd85e9.000357a0	user_options->restore	0
TOP.60cd85e9.000357a0	user_options->restore_disable	0
TOP.60cd85e9.000357a0	user_options->restore_timer	60
TOP.60cd85e9.000357a0	user_options->rp_files_cnt	0
TOP.60cd85e9.000357a0	user_options->rp_gen	0
TOP.60cd85e9.000357a0	user_options->rp_gen_func_max	4
TOP.60cd85e9.000357a0	user_options->rp_gen_func_min	1
TOP.60cd85e9.000357a0	user_options->rp_gen_seed	0
TOP.60cd85e9.000357a0	user_options->runtime	0
TOP.60cd85e9.000357a0	user_options->scrypt_tmto	0
TOP.60cd85e9.000357a0	user_options->segment_size	33554432
TOP.60cd85e9.000357a0	user_options->self_test_disable	0
TOP.60cd85e9.000357a0	user_options->slow_candidates	0
TOP.60cd85e9.000357a0	user_options->show	0
TOP.60cd85e9.000357a0	user_options->speed_only	0
TOP.60cd85e9.000357a0	user_options->spin_damp	0
TOP.60cd85e9.000357a0	user_options->status	0
TOP.60cd85e9.000357a0	user_options->status_json	0
TOP.60cd85e9.000357a0	user_options->status_timer	10
TOP.60cd85e9.000357a0	user_options->stdout_flag	0
TOP.60cd85e9.000357a0	user_options->usage	0
TOP.60cd85e9.000357a0	user_options->username	0
TOP.60cd85e9.000357a0	user_options->veracrypt_pim_start	485
TOP.60cd85e9.000357a0	user_options->veracrypt_pim_stop	485
TOP.60cd85e9.000357a0	user_options->version	0
TOP.60cd85e9.000357a0	user_options->workload_profile	2
TOP.60cd85e9.000357a0	user_options->brain_client	0
TOP.60cd85e9.000357a0	user_options->brain_client_features	2
TOP.60cd85e9.000357a0	user_options->brain_server	0
TOP.60cd85e9.000357a0	user_options->brain_server_timer	300
TOP.60cd85e9.000357a0	user_options->brain_port	6863
TOP.60cd85e9.000357a0	user_options->brain_session	0
TOP.60cd85e9.000357a0	hashes->hashfile	hash.txt
TOP.60cd85e9.000357a0	hashes->hashlist_mode	5
TOP.60cd85e9.000357a0	hashes->hashlist_format	0
TOP.60cd85e9.000357a0	hashes->hashes_cnt	0
TOP.60cd85e9.000357a0	hashes->digests_cnt	17
TOP.60cd85e9.000357a0	hashes->digests_done	0
TOP.60cd85e9.000357a0	hashes->salts_cnt	17
TOP.60cd85e9.000357a0	hashes->salts_done	0
TOP.60cd85e9.000357a0	SUB.60cd85ed.00012c2c	START
TOP.60cd85e9.000357a0	SUB.60cd85ed.00012c2c	mask_ctx->mask	?1
TOP.60cd85e9.000357a0	SUB.60cd85ed.00012c2c	runtime_start	1624081901
TOP.60cd85e9.000357a0	SUB.60cd85ed.00012c2c	runtime_stop	1624082626
TOP.60cd85e9.000357a0	SUB.60cd85ed.00012c2c	status-after-work	5
TOP.60cd85e9.000357a0	SUB.60cd85ed.00012c2c	STOP
TOP.60cd85e9.000357a0	SUB.60cd88c2.0002238e	START
TOP.60cd85e9.000357a0	SUB.60cd88c2.0002238e	mask_ctx->mask	?1?2
TOP.60cd85e9.000357a0	SUB.60cd88c2.0002238e	runtime_start	1624082626
TOP.60cd85e9.000357a0	SUB.60cd88c2.0002238e	runtime_stop	1624083394
TOP.60cd85e9.000357a0	SUB.60cd88c2.0002238e	status-after-work	5
TOP.60cd85e9.000357a0	SUB.60cd88c2.0002238e	STOP
TOP.60cd85e9.000357a0	SUB.60cd8bc2.000b4a6c	START
TOP.60cd85e9.000357a0	SUB.60cd8bc2.000b4a6c	mask_ctx->mask	?1?2?2
TOP.60cd85e9.000357a0	SUB.60cd8bc2.000b4a6c	runtime_start	1624083395
TOP.60cd85e9.000357a0	SUB.60cd8bc2.000b4a6c	runtime_stop	1624098905
TOP.60cd85e9.000357a0	SUB.60cd8bc2.000b4a6c	status-after-work	5
TOP.60cd85e9.000357a0	SUB.60cd8bc2.000b4a6c	STOP
TOP.60cd85e9.000357a0	SUB.60cdc859.000e3d83	START
TOP.60cd85e9.000357a0	SUB.60cdc859.000e3d83	mask_ctx->mask	?1?2?2?2
TOP.60eb53b4.0000a9dd	START
TOP.60eb53b4.0000a9dd	folder_config->cwd	C:\Users\fvolp\Desktop\hashcat-6.2.2
TOP.60eb53b4.0000a9dd	folder_config->install_dir	.
TOP.60eb53b4.0000a9dd	folder_config->profile_dir	.
TOP.60eb53b4.0000a9dd	folder_config->session_dir	.
TOP.60eb53b4.0000a9dd	folder_config->shared_dir	.
TOP.60eb53b4.0000a9dd	user_options->separator	:
TOP.60eb53b4.0000a9dd	user_options->custom_charset_1	?l?d?u
TOP.60eb53b4.0000a9dd	user_options->custom_charset_2	?l?d
TOP.60eb53b4.0000a9dd	user_options->custom_charset_3	?l?d*!$@_
TOP.60eb53b4.0000a9dd	user_options->encoding_from	utf-8
TOP.60eb53b4.0000a9dd	user_options->encoding_to	utf-8
TOP.60eb53b4.0000a9dd	user_options->rule_buf_l	:
TOP.60eb53b4.0000a9dd	user_options->rule_buf_r	:
TOP.60eb53b4.0000a9dd	user_options->session	hashcat
TOP.60eb53b4.0000a9dd	user_options->limit	0
TOP.60eb53b4.0000a9dd	user_options->skip	0
TOP.60eb53b4.0000a9dd	user_options->attack_mode	3
TOP.60eb53b4.0000a9dd	user_options->benchmark	0
TOP.60eb53b4.0000a9dd	user_options->benchmark_all	0
TOP.60eb53b4.0000a9dd	user_options->bitmap_max	18
TOP.60eb53b4.0000a9dd	user_options->bitmap_min	16
TOP.60eb53b4.0000a9dd	user_options->debug_mode	0
TOP.60eb53b4.0000a9dd	user_options->hash_info	0
TOP.60eb53b4.0000a9dd	user_options->force	0
TOP.60eb53b4.0000a9dd	user_options->hwmon_disable	0
TOP.60eb53b4.0000a9dd	user_options->hwmon_temp_abort	90
TOP.60eb53b4.0000a9dd	user_options->hash_mode	0
TOP.60eb53b4.0000a9dd	user_options->hex_charset	0
TOP.60eb53b4.0000a9dd	user_options->hex_salt	0
TOP.60eb53b4.0000a9dd	user_options->hex_wordlist	0
TOP.60eb53b4.0000a9dd	user_options->hook_threads	8
TOP.60eb53b4.0000a9dd	user_options->identify	0
TOP.60eb53b4.0000a9dd	user_options->increment	1
TOP.60eb53b4.0000a9dd	user_options->increment_max	256
TOP.60eb53b4.0000a9dd	user_options->increment_min	1
TOP.60eb53b4.0000a9dd	user_options->keep_guessing	0
TOP.60eb53b4.0000a9dd	user_options->kernel_accel	0
TOP.60eb53b4.0000a9dd	user_options->kernel_loops	0
TOP.60eb53b4.0000a9dd	user_options->kernel_threads	0
TOP.60eb53b4.0000a9dd	user_options->keyspace	0
TOP.60eb53b4.0000a9dd	user_options->left	0
TOP.60eb53b4.0000a9dd	user_options->logfile_disable	0
TOP.60eb53b4.0000a9dd	user_options->loopback	0
TOP.60eb53b4.0000a9dd	user_options->machine_readable	0
TOP.60eb53b4.0000a9dd	user_options->markov_classic	0
TOP.60eb53b4.0000a9dd	user_options->markov_disable	0
TOP.60eb53b4.0000a9dd	user_options->markov_threshold	256
TOP.60eb53b4.0000a9dd	user_options->backend_info	0
TOP.60eb53b4.0000a9dd	user_options->backend_vector_width	0
TOP.60eb53b4.0000a9dd	user_options->optimized_kernel_enable	0
TOP.60eb53b4.0000a9dd	user_options->outfile_autohex	1
TOP.60eb53b4.0000a9dd	user_options->outfile_check_timer	5
TOP.60eb53b4.0000a9dd	user_options->outfile_format	3
TOP.60eb53b4.0000a9dd	user_options->wordlist_autohex_disable	0
TOP.60eb53b4.0000a9dd	user_options->potfile_disable	0
TOP.60eb53b4.0000a9dd	user_options->progress_only	0
TOP.60eb53b4.0000a9dd	user_options->quiet	0
TOP.60eb53b4.0000a9dd	user_options->remove	0
TOP.60eb53b4.0000a9dd	user_options->remove_timer	60
TOP.60eb53b4.0000a9dd	user_options->restore	0
TOP.60eb53b4.0000a9dd	user_options->restore_disable	0
TOP.60eb53b4.0000a9dd	user_options->restore_timer	60
TOP.60eb53b4.0000a9dd	user_options->rp_files_cnt	0
TOP.60eb53b4.0000a9dd	user_options->rp_gen	0
TOP.60eb53b4.0000a9dd	user_options->rp_gen_func_max	4
TOP.60eb53b4.0000a9dd	user_options->rp_gen_func_min	1
TOP.60eb53b4.0000a9dd	user_options->rp_gen_seed	0
TOP.60eb53b4.0000a9dd	user_options->runtime	0
TOP.60eb53b4.0000a9dd	user_options->scrypt_tmto	0
TOP.60eb53b4.0000a9dd	user_options->segment_size	33554432
TOP.60eb53b4.0000a9dd	user_options->self_test_disable	0
TOP.60eb53b4.0000a9dd	user_options->slow_candidates	0
TOP.60eb53b4.0000a9dd	user_options->show	0
TOP.60eb53b4.0000a9dd	user_options->speed_only	0
TOP.60eb53b4.0000a9dd	user_options->spin_damp	0
TOP.60eb53b4.0000a9dd	user_options->status	0
TOP.60eb53b4.0000a9dd	user_options->status_json	0
TOP.60eb53b4.0000a9dd	user_options->status_timer	10
TOP.60eb53b4.0000a9dd	user_options->stdout_flag	0
TOP.60eb53b4.0000a9dd	user_options->usage	0
TOP.60eb53b4.0000a9dd	user_options->username	0
TOP.60eb53b4.0000a9dd	user_options->veracrypt_pim_start	485
TOP.60eb53b4.0000a9dd	user_options->veracrypt_pim_stop	485
TOP.60eb53b4.0000a9dd	user_options->version	0
TOP.60eb53b4.0000a9dd	user_options->workload_profile	2
TOP.60eb53b4.0000a9dd	user_options->brain_client	0
TOP.60eb53b4.0000a9dd	user_options->brain_client_features	2
TOP.60eb53b4.0000a9dd	user_options->brain_server	0
TOP.60eb53b4.0000a9dd	user_options->brain_server_timer	300
TOP.60eb53b4.0000a9dd	user_options->brain_port	6863
TOP.60eb53b4.0000a9dd	user_options->brain_session	0
TOP.60eb53b4.0000a9dd	hashes->hashfile	hash.txt
TOP.60eb53b4.0000a9dd	hashes->hashlist_mode	5
TOP.60eb53b4.0000a9dd	hashes->hashlist_format	0
TOP.60eb53b4.0000a9dd	hashes->hashes_cnt	0
TOP.60eb53b4.0000a9dd	hashes->digests_cnt	122
TOP.60eb53b4.0000a9dd	hashes->digests_done	0
TOP.60eb53b4.0000a9dd	hashes->salts_cnt	1
TOP.60eb53b4.0000a9dd	hashes->salts_done	0
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000127c2	START
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000127c2	mask_ctx->mask	?1
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000127c2	runtime_start	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000127c2	runtime_stop	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000127c2	status-after-work	5
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000127c2	STOP
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000426b1	START
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000426b1	mask_ctx->mask	?1?2
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000426b1	runtime_start	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000426b1	runtime_stop	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000426b1	status-after-work	5
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000426b1	STOP
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.0006a9e1	START
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.0006a9e1	mask_ctx->mask	?1?2?2
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.0006a9e1	runtime_start	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.0006a9e1	runtime_stop	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.0006a9e1	status-after-work	5
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.0006a9e1	STOP
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.00092b08	START
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.00092b08	mask_ctx->mask	?1?2?2?2
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.00092b08	runtime_start	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.00092b08	runtime_stop	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.00092b08	status-after-work	5
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.00092b08	STOP
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000bc71b	START
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000bc71b	mask_ctx->mask	?1?2?2?2?2
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000bc71b	runtime_start	1626035130
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000bc71b	runtime_stop	1626035131
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000bc71b	status-after-work	5
TOP.60eb53b4.0000a9dd	SUB.60eb53ba.000bc71b	STOP
TOP.60eb53b4.0000a9dd	SUB.60eb53bb.000196f4	START
TOP.60eb53b4.0000a9dd	SUB.60eb53bb.000196f4	mask_ctx->mask	?1?2?2?2?2?2
TOP.60eb53b4.0000a9dd	SUB.60eb53bb.000196f4	runtime_start	1626035131
TOP.60eb53b4.0000a9dd	SUB.60eb53bb.000196f4	runtime_stop	1626035135
TOP.60eb53b4.0000a9dd	SUB.60eb53bb.000196f4	status-after-work	5
TOP.60eb53b4.0000a9dd	SUB.60eb53bb.000196f4	STOP
TOP.60eb53b4.0000a9dd	SUB.60eb53bf.00019d96	START
TOP.60eb53b4.0000a9dd	SUB.60eb53bf.00019d96	mask_ctx->mask	?1?2?2?2?2?2?2
TOP.60eb53b4.0000a9dd	SUB.60eb53bf.00019d96	runtime_start	1626035135
TOP.60eb53b4.0000a9dd	SUB.60eb53bf.00019d96	runtime_stop	1626035149
TOP.60eb53b4.0000a9dd	SUB.60eb53bf.00019d96	status-after-work	8
TOP.60eb53b4.0000a9dd	SUB.60eb53bf.00019d96	STOP
TOP.60eb53b4.0000a9dd	proc_start	1626035124
TOP.60eb53b4.0000a9dd	proc_stop	1626035151
TOP.60eb53b4.0000a9dd	STOP
TOP.60eb53df.0002bb8d	START
TOP.60eb53df.0002bb8d	folder_config->cwd	C:\Users\fvolp\Desktop\hashcat-6.2.2
TOP.60eb53df.0002bb8d	folder_config->install_dir	.
TOP.60eb53df.0002bb8d	folder_config->profile_dir	.
TOP.60eb53df.0002bb8d	folder_config->session_dir	.
TOP.60eb53df.0002bb8d	folder_config->shared_dir	.
TOP.60eb53df.0002bb8d	user_options->separator	:
TOP.60eb53df.0002bb8d	user_options->custom_charset_1	?l?d?u
TOP.60eb53df.0002bb8d	user_options->custom_charset_2	?l?d
TOP.60eb53df.0002bb8d	user_options->custom_charset_3	?l?d*!$@_
TOP.60eb53df.0002bb8d	user_options->encoding_from	utf-8
TOP.60eb53df.0002bb8d	user_options->encoding_to	utf-8
TOP.60eb53df.0002bb8d	user_options->outfile	cracked.txt
TOP.60eb53df.0002bb8d	user_options->rule_buf_l	:
TOP.60eb53df.0002bb8d	user_options->rule_buf_r	:
TOP.60eb53df.0002bb8d	user_options->session	hashcat
TOP.60eb53df.0002bb8d	user_options->limit	0
TOP.60eb53df.0002bb8d	user_options->skip	0
TOP.60eb53df.0002bb8d	user_options->attack_mode	3
TOP.60eb53df.0002bb8d	user_options->benchmark	0
TOP.60eb53df.0002bb8d	user_options->benchmark_all	0
TOP.60eb53df.0002bb8d	user_options->bitmap_max	18
TOP.60eb53df.0002bb8d	user_options->bitmap_min	16
TOP.60eb53df.0002bb8d	user_options->debug_mode	0
TOP.60eb53df.0002bb8d	user_options->hash_info	0
TOP.60eb53df.0002bb8d	user_options->force	0
TOP.60eb53df.0002bb8d	user_options->hwmon_disable	0
TOP.60eb53df.0002bb8d	user_options->hwmon_temp_abort	90
TOP.60eb53df.0002bb8d	user_options->hash_mode	0
TOP.60eb53df.0002bb8d	user_options->hex_charset	0
TOP.60eb53df.0002bb8d	user_options->hex_salt	0
TOP.60eb53df.0002bb8d	user_options->hex_wordlist	0
TOP.60eb53df.0002bb8d	user_options->hook_threads	8
TOP.60eb53df.0002bb8d	user_options->identify	0
TOP.60eb53df.0002bb8d	user_options->increment	1
TOP.60eb53df.0002bb8d	user_options->increment_max	256
TOP.60eb53df.0002bb8d	user_options->increment_min	1
TOP.60eb53df.0002bb8d	user_options->keep_guessing	0
TOP.60eb53df.0002bb8d	user_options->kernel_accel	0
TOP.60eb53df.0002bb8d	user_options->kernel_loops	0
TOP.60eb53df.0002bb8d	user_options->kernel_threads	0
TOP.60eb53df.0002bb8d	user_options->keyspace	0
TOP.60eb53df.0002bb8d	user_options->left	0
TOP.60eb53df.0002bb8d	user_options->logfile_disable	0
TOP.60eb53df.0002bb8d	user_options->loopback	0
TOP.60eb53df.0002bb8d	user_options->machine_readable	0
TOP.60eb53df.0002bb8d	user_options->markov_classic	0
TOP.60eb53df.0002bb8d	user_options->markov_disable	0
TOP.60eb53df.0002bb8d	user_options->markov_threshold	256
TOP.60eb53df.0002bb8d	user_options->backend_info	0
TOP.60eb53df.0002bb8d	user_options->backend_vector_width	0
TOP.60eb53df.0002bb8d	user_options->optimized_kernel_enable	0
TOP.60eb53df.0002bb8d	user_options->outfile_autohex	1
TOP.60eb53df.0002bb8d	user_options->outfile_check_timer	5
TOP.60eb53df.0002bb8d	user_options->outfile_format	3
TOP.60eb53df.0002bb8d	user_options->wordlist_autohex_disable	0
TOP.60eb53df.0002bb8d	user_options->potfile_disable	0
TOP.60eb53df.0002bb8d	user_options->progress_only	0
TOP.60eb53df.0002bb8d	user_options->quiet	0
TOP.60eb53df.0002bb8d	user_options->remove	0
TOP.60eb53df.0002bb8d	user_options->remove_timer	60
TOP.60eb53df.0002bb8d	user_options->restore	0
TOP.60eb53df.0002bb8d	user_options->restore_disable	0
TOP.60eb53df.0002bb8d	user_options->restore_timer	60
TOP.60eb53df.0002bb8d	user_options->rp_files_cnt	0
TOP.60eb53df.0002bb8d	user_options->rp_gen	0
TOP.60eb53df.0002bb8d	user_options->rp_gen_func_max	4
TOP.60eb53df.0002bb8d	user_options->rp_gen_func_min	1
TOP.60eb53df.0002bb8d	user_options->rp_gen_seed	0
TOP.60eb53df.0002bb8d	user_options->runtime	0
TOP.60eb53df.0002bb8d	user_options->scrypt_tmto	0
TOP.60eb53df.0002bb8d	user_options->segment_size	33554432
TOP.60eb53df.0002bb8d	user_options->self_test_disable	0
TOP.60eb53df.0002bb8d	user_options->slow_candidates	0
